"band","Ehux","Pela","Pro_","Syn_","Tetr","Thal"
"a402","0.0460758263797603","0.067960980039664","0.0056557782667368","0.0296734587083433","0.0446152441534633","0.0956218419353388"
"a404","0.0457373960150872","0.0671584220517536","0.00558097968659206","0.0293490073832837","0.0440550313913937","0.0948322642357721"
"a406","0.0453989656504141","0.0663558640638432","0.00550618110644732","0.0290245560582241","0.0434948186293242","0.0940426865362054"
"a408","0.0445322927798911","0.0647889121858344","0.00557546872084435","0.0284659449472588","0.0423355720759803","0.0924141863005256"
"a410","0.043606926297607","0.0631370276533702","0.00566076591241268","0.027881316082304","0.0411097662124947","0.0906924724497221"
"a412","0.0430282348886326","0.0620320396883828","0.0057513849213483","0.0274354199941358","0.0401496632389086","0.0891939934753623"
"a414","0.0426362146729788","0.0612215344904982","0.00584486952425091","0.0270642261703911","0.0393326310521914","0.0878157178960106"
"a416","0.0420864597192707","0.0601542082260324","0.00591531614343569","0.026584085476216","0.0384785022955923","0.0861458487749063"
"a418","0.0413439178634961","0.0587729895468562","0.00595760522696534","0.0259707874959593","0.0375790332869151","0.0841195875472155"
"a420","0.0406112056932617","0.0573874574387556","0.00600424206933047","0.0253415393952895","0.0366728612773834","0.0821150169490684"
"a422","0.0399669606928901","0.0559631044703345","0.00609000874121503","0.0245687402109017","0.0357063622601607","0.0803056620168148"
"a424","0.0393227156925184","0.0545387515019135","0.00617577541309958","0.023795941026514","0.034739863242938","0.0784963070845612"
"a426","0.0386704245952313","0.0530698148784273","0.00623472123281661","0.0232114268270326","0.0338513490774324","0.0767685535552115"
"a428","0.0380138009842203","0.0515768716714445","0.00627922505521267","0.0227282968501932","0.0330048267551593","0.0750847392428101"
"a430","0.0373552616690411","0.050143160859291","0.00632033421390679","0.022185419074136","0.0321487238245161","0.0733484035599502"
"a432","0.0366909752413572","0.0488871472316251","0.00635125938149513","0.0214632979004253","0.0312638790687628","0.071454503765715"
"a434","0.0360266888136733","0.0476311336039593","0.00638218454908346","0.0207411767267145","0.0303790343130096","0.0695606039714799"
"a436","0.0354512546601666","0.0462824724769769","0.00643190371526327","0.0201557418185788","0.0295663465536182","0.0679275471418224"
"a438","0.0348804969421429","0.04492893516582","0.00648261203926368","0.0195775009244206","0.0287574565308774","0.0663082188892479"
"a440","0.0342675931698619","0.0437497639924357","0.00648540843971086","0.0189642400833553","0.028013056166449","0.0646083580517407"
"a442","0.0336319953683654","0.042664482277852","0.00646240611209093","0.0183321223478015","0.0273033810026503","0.0628651335146544"
"a444","0.0329939935918921","0.041563792601283","0.006412217195338","0.0177047438815874","0.0265949688653482","0.0611284470087758"
"a446","0.032351527290462","0.0404344881381702","0.00631153889876667","0.0170861669155754","0.0258889023486823","0.059403902560854"
"a448","0.0317090609890319","0.0393051836750573","0.00621086060219533","0.0164675899495634","0.0251828358320164","0.0576793581129323"
"a450","0.0312051781049783","0.0383061387882153","0.00606613596543571","0.0159492905638624","0.024565308642736","0.0562846501313855"
"a452","0.0307085890849972","0.0373139496685455","0.00591909310024512","0.0154362689455461","0.0239524414180549","0.0549073019638584"
"a454","0.0302306393730644","0.0363992271013139","0.00574029304727621","0.0149817800589621","0.0233742359905088","0.0536293942377381"
"a456","0.0297713289691799","0.0355619710865206","0.00552973580652897","0.0145858239041103","0.0228306923600976","0.0524509269530246"
"a458","0.0293187061295581","0.0347233099518351","0.00531770228070494","0.0141908587723834","0.0222925444816755","0.0512716198088219"
"a460","0.0289262713682996","0.0338720027381199","0.00509238218918985","0.0138048128487804","0.0218029583711541","0.0500847539292168"
"a462","0.0285338366070411","0.0330206955244047","0.00486706209767475","0.0134187669251774","0.0213133722606327","0.0488978880496116"
"a464","0.0280779348562357","0.0322117062989116","0.00465972583721825","0.0130565434960844","0.0208467086937681","0.0477164759092103"
"a466","0.0275878585725973","0.0314255036824611","0.00446207317810098","0.0127071475640352","0.0203923880350263","0.0465380003976112"
"a468","0.0270933759940594","0.0306443632890778","0.00427501779192754","0.0123764933577452","0.019935665046232","0.0453695790996642"
"a470","0.0265856745308231","0.029878409564896","0.00411975422458556","0.012102064328733","0.0194717350672802","0.0442313204426739"
