band,sample1,sample2,sample3,sample4,sample5,sample6
413,2.438076286,2.034604876,1.544007187,1.335611579,1.151215621,1.265874851
415,2.402384199,2.016595312,1.538197372,1.333720469,1.146919984,1.258342086
417,2.346383896,1.988012523,1.527992937,1.330229898,1.144668924,1.253872806
419,2.289793295,1.963064108,1.530595469,1.337123948,1.153951339,1.259372617
421,2.228069419,1.935900058,1.535812444,1.344429491,1.162781978,1.263895066
423,2.160849953,1.90512167,1.538175401,1.348400779,1.167244459,1.264346772
425,2.096576793,1.875619381,1.538965638,1.351401173,1.170389513,1.263982836
427,2.040182574,1.850596915,1.541254767,1.3568517,1.176439032,1.266637793
429,1.989117522,1.828371981,1.545841247,1.36546216,1.186543982,1.272968411
431,1.935948619,1.803713487,1.550486063,1.374807037,1.198332349,1.280340988
433,1.872732297,1.770889086,1.551565317,1.381285252,1.20812366,1.285058815
435,1.795657665,1.726804486,1.54620439,1.382329723,1.213417765,1.284747989
437,1.706511946,1.672089214,1.533506455,1.377557582,1.214179439,1.279481524
439,1.613000706,1.611687164,1.51583942,1.369639108,1.213571748,1.272363314
441,1.517819101,1.546365686,1.491752156,1.358028878,1.211647768,1.26354367
443,1.422801208,1.477439006,1.462329215,1.343390615,1.2090514,1.253382645
445,1.329564875,1.406780005,1.42957997,1.326509639,1.205817486,1.241846786
447,1.242182875,1.338477998,1.395903512,1.308355117,1.201439013,1.228999536
449,1.165970531,1.277744943,1.364102007,1.290341581,1.195649728,1.215488794
451,1.105489161,1.229172441,1.337318035,1.274652562,1.189601119,1.202920294
453,1.064304593,1.196227568,1.318990009,1.264580086,1.186567265,1.194280403
455,1.041433975,1.178032668,1.309362457,1.261067113,1.188358589,1.190756118
457,1.031785922,1.170612408,1.30629419,1.262714182,1.19447697,1.191638089
459,1.022607518,1.163807157,1.303445397,1.264773516,1.201639576,1.193392226
461,1.008906943,1.152833966,1.297380506,1.264595213,1.207907893,1.194065863
463,0.988836771,1.135959631,1.286779775,1.261161802,1.212238291,1.192751071
465,0.965422481,1.115885045,1.27352831,1.256070712,1.215541087,1.190638232
467,0.942337085,1.096201647,1.26034968,1.252135653,1.220376461,1.19049585
469,0.914609626,1.072498908,1.243655787,1.246960901,1.225228775,1.190666427
471,0.879211523,1.041618456,1.220501742,1.237534904,1.227254821,1.188411117
473,0.836447413,1.00362559,1.191043418,1.223117541,1.225316561,1.182823471
475,0.786344422,0.958180324,1.154949537,1.202589882,1.217986203,1.172591391
477,0.731905338,0.908102194,1.114416056,1.177733772,1.206615077,1.159304187
479,0.677813898,0.857655956,1.072563551,1.151210496,1.193464655,1.145217934
481,0.627536368,0.810333729,1.032356675,1.126166018,1.181642681,1.133026411
483,0.582555484,0.767813825,0.995384069,1.10460031,1.173325206,1.124574088
485,0.538871626,0.725785572,0.957142511,1.082041979,1.164105586,1.115361484
487,0.493396117,0.68119462,0.914999426,1.055689551,1.151148174,1.102833633
489,0.442190666,0.629954414,0.865346717,1.021373131,1.130019582,1.08275554
491,0.384339958,0.570929976,0.80734862,0.977535017,1.098770757,1.053082703
493,0.321239877,0.505403212,0.742462639,0.925110776,1.058002309,1.014130556
495,0.257114518,0.437803152,0.675272204,0.868659117,1.012313524,0.970174493
497,0.191554172,0.366934057,0.603256047,0.804733369,0.957627546,0.916851927
499,0.123365359,0.291614195,0.525074235,0.732507232,0.893420376,0.853216727
501,0.053158603,0.212521255,0.441114109,0.652427062,0.820101639,0.77955789
503,-0.018730472,0.129942653,0.351190896,0.563722267,0.736394503,0.694836554
505,-0.091155329,0.044996816,0.25586253,0.466225555,0.64153699,0.598777046
507,-0.161895131,-0.039585769,0.158133412,0.362925245,0.538315271,0.494621268
509,-0.22837396,-0.120277146,0.062629734,0.2591157,0.432110958,0.38806141
511,-0.285921516,-0.191088594,-0.023142631,0.163658645,0.332352286,0.288651942
513,-0.332277723,-0.248575253,-0.093979853,0.083818837,0.247717232,0.204829581
515,-0.366172231,-0.290747452,-0.1467367,0.024411461,0.184442616,0.142477946
517,-0.387945543,-0.317823419,-0.181209596,-0.013495066,0.144603554,0.103406112
519,-0.401437633,-0.334366096,-0.202380485,-0.03516027,0.123169983,0.082353379
