band,sample1,sample2,sample3,sample4,sample5,sample6
402,0.009713084,0.018840343,0.038820242,0.058182302,0.07978325,0.069670467
404,0.009589686,0.018607613,0.038383624,0.057595252,0.07907674,0.069065147
406,0.009466287,0.018374883,0.037947006,0.057008201,0.078370231,0.068459826
408,0.009418782,0.018065144,0.03713887,0.055815758,0.076902611,0.067159815
410,0.009379709,0.017746849,0.036289455,0.054556049,0.075350422,0.065782617
412,0.009376559,0.017533696,0.035653606,0.053547319,0.074066925,0.064706083
414,0.009392751,0.017377159,0.035132755,0.052673731,0.072928108,0.063791445
416,0.00937733,0.017169378,0.034496323,0.051658803,0.07155713,0.062665733
418,0.00932327,0.016898968,0.033718625,0.050471125,0.069902399,0.061282043
420,0.009272542,0.016629662,0.03293289,0.049285884,0.068261265,0.059910144
422,0.009251807,0.016370297,0.032074818,0.048122574,0.066742506,0.05864437
424,0.009231071,0.016110932,0.031216745,0.046959265,0.065223748,0.057378597
426,0.009190372,0.015846192,0.030458821,0.045867933,0.063766917,0.056151257
428,0.009138925,0.015578558,0.029754823,0.044815359,0.062343431,0.054944613
430,0.009085089,0.015311112,0.02902608,0.043740815,0.060888724,0.05371837
432,0.009024087,0.015044228,0.028223107,0.042600361,0.059340356,0.052433332
434,0.008963085,0.014777345,0.027420134,0.041459907,0.057791988,0.051148293
436,0.008921381,0.014530187,0.026698602,0.040441298,0.056426908,0.050009444
438,0.008880693,0.014284066,0.025981356,0.039429103,0.055071474,0.048878289
440,0.00880451,0.014030633,0.025276578,0.038424679,0.053684393,0.047720381
442,0.008709214,0.013773261,0.024578513,0.03742444,0.05228027,0.046548066
444,0.008588827,0.013495391,0.023877728,0.036424621,0.050879138,0.045376552
446,0.008421842,0.013179451,0.023171894,0.035425583,0.049483562,0.044206524
448,0.008254856,0.012863511,0.022466059,0.034426545,0.048087986,0.043036496
450,0.008057126,0.012546499,0.021856811,0.033588402,0.046946134,0.042082448
452,0.007857778,0.01222943,0.021252646,0.032758728,0.045817636,0.041139767
454,0.007634173,0.011904862,0.020696291,0.03198441,0.044767728,0.040258496
456,0.007386312,0.011572795,0.020187744,0.031265449,0.043796411,0.039438633
458,0.007137344,0.011240432,0.019680323,0.030548818,0.042826021,0.038621263
460,0.006878424,0.010905409,0.019183026,0.029853152,0.04186398,0.037826322
462,0.006619504,0.010570386,0.018685729,0.029157487,0.04090194,0.037031381
464,0.006379603,0.010256746,0.018213229,0.028476384,0.03994438,0.036223185
466,0.006149943,0.009954619,0.017754083,0.027803124,0.038989232,0.035407853
468,0.005930145,0.0096607,0.017305985,0.027134384,0.038040176,0.034595569
470,0.005739936,0.009391406,0.016891036,0.026479209,0.037109393,0.033792432
472,0.005549727,0.009122112,0.016476086,0.025824033,0.036178611,0.032989295
474,0.005386398,0.008875275,0.016077435,0.025190533,0.0352635,0.032163785
476,0.005229789,0.008634053,0.015682858,0.024562451,0.034352308,0.031332682
478,0.005085897,0.008406612,0.015308008,0.023959397,0.033481201,0.03053155
480,0.004965619,0.008204765,0.014969795,0.023402822,0.032684539,0.029786079
482,0.004845342,0.008002918,0.014631581,0.022846248,0.031887877,0.029040608
484,0.00469761,0.007780056,0.014311559,0.022283682,0.031067709,0.028255462
486,0.004546828,0.007554858,0.013993558,0.02172045,0.03024493,0.027465908
488,0.004409587,0.007341412,0.013695971,0.021182552,0.029471834,0.026719682
490,0.004279637,0.007134293,0.013409377,0.020658295,0.028725491,0.025996786
492,0.004148582,0.006926805,0.013123964,0.020146955,0.028001861,0.025286374
494,0.004014949,0.006718455,0.012841305,0.019665753,0.027331227,0.02460509
496,0.003881317,0.006510105,0.012558647,0.019184552,0.026660593,0.023923807
498,0.003713618,0.006267456,0.012211817,0.018656259,0.025957815,0.023235958
500,0.003544126,0.006023001,0.01186161,0.018125488,0.025253345,0.022547763
502,0.003373368,0.005788186,0.011548216,0.017639892,0.024615117,0.021933146
504,0.003201929,0.005558562,0.011254646,0.017178622,0.024012556,0.021358147
506,0.003035273,0.005335401,0.010963716,0.016723236,0.023414522,0.020790463
508,0.002882971,0.005131626,0.010680709,0.016285504,0.022830071,0.02024472
510,0.002730669,0.004927851,0.010397702,0.015847771,0.022245619,0.019698978
512,0.002601887,0.004749539,0.01016437,0.015465624,0.021745165,0.019226484
514,0.002478984,0.004577593,0.009943456,0.015097373,0.02126571,0.018772302
516,0.002362056,0.004412044,0.009731797,0.014732459,0.020784095,0.018316569
518,0.002259066,0.004261419,0.009541731,0.01437533,0.02029744,0.017857216
520,0.002156076,0.004110794,0.009351665,0.014018201,0.019810785,0.017397862
522,0.002064154,0.003969248,0.009174221,0.013653782,0.019296093,0.016911801
524,0.001974186,0.003829305,0.008999003,0.013288077,0.018776454,0.016421026
526,0.001893876,0.003699914,0.008847912,0.012945335,0.018284201,0.015946412
528,0.001825373,0.003583421,0.008726308,0.012630661,0.017825421,0.015491548
530,0.001763158,0.00347483,0.008610203,0.012322511,0.017368495,0.015041671
532,0.001726103,0.003397848,0.00851609,0.012040465,0.016918988,0.014611737
534,0.001689048,0.003320866,0.008421977,0.011758418,0.016469482,0.014181804
536,0.001649822,0.003240929,0.008318083,0.011462599,0.015996401,0.013731555
538,0.001610053,0.003160254,0.008211744,0.011163337,0.015517427,0.013276227
540,0.001573672,0.003085394,0.008091862,0.010882526,0.015072522,0.012854266
542,0.001540679,0.003016348,0.007958438,0.010620168,0.014661687,0.01246567
544,0.001508277,0.00294712,0.007815248,0.010353908,0.014245906,0.012074446
546,0.001479231,0.002876865,0.007616714,0.010065537,0.013802094,0.011668323
548,0.001450184,0.002806609,0.00741818,0.009777166,0.013358282,0.0112622
550,0.001419854,0.002736506,0.007168613,0.009484632,0.012926281,0.010882655
552,0.001389296,0.00266643,0.006910042,0.009191363,0.012496364,0.010507799
554,0.001361509,0.002604533,0.006660368,0.008932585,0.012126793,0.010184786
556,0.001335988,0.002549328,0.006417976,0.008702025,0.011806596,0.009904189
558,0.001311577,0.002495469,0.006177593,0.008475941,0.011491674,0.009630686
560,0.001290495,0.002445648,0.00594324,0.008263283,0.011192575,0.009378464
562,0.001269412,0.002395826,0.005708887,0.008050625,0.010893476,0.009126241
564,0.001249241,0.002345533,0.005466127,0.007849871,0.010622376,0.008901889
566,0.00122907,0.002295239,0.005223366,0.007649118,0.010351275,0.008677538
568,0.001217379,0.002268456,0.005064736,0.007528882,0.010191655,0.008557554
570,0.00120663,0.002244286,0.004915453,0.007417592,0.010044422,0.008449166
572,0.001195449,0.002219221,0.004765781,0.007304532,0.009894995,0.008339496
574,0.001181818,0.002189089,0.004613902,0.007181445,0.009733137,0.008222558
576,0.001168188,0.002158956,0.004462023,0.007058357,0.009571278,0.008105619
578,0.001162945,0.002137008,0.004337131,0.006964481,0.009455164,0.008026528
580,0.001158143,0.002115491,0.004213659,0.006872143,0.009341458,0.00794943
582,0.001154563,0.002098587,0.004113245,0.006786947,0.009234081,0.007878929
584,0.00115139,0.00208322,0.004020516,0.006704132,0.009128814,0.007810627
586,0.001146284,0.002065331,0.003934242,0.006620621,0.009019742,0.007733372
588,0.001139598,0.002045379,0.003853248,0.006536541,0.008907556,0.007648792
590,0.001131834,0.002023851,0.003773308,0.006445544,0.008780741,0.007549565
592,0.001122069,0.001999398,0.003695324,0.006341704,0.008626754,0.007423137
594,0.001112543,0.00197525,0.003618608,0.006238641,0.008473939,0.007297224
596,0.001107577,0.00195692,0.003565984,0.006150333,0.008343393,0.007181111
598,0.001102611,0.001938589,0.003513361,0.006062025,0.008212847,0.007064998
