band,Ehux,Pela,Pro,Syn,Tetr,Thal
413,1.651996494,1.145519992,2.717057068,1.662198144,1.453781353,1.034611189
415,1.631210794,1.13757014,2.664386704,1.65424487,1.461299379,1.030149333
417,1.61503438,1.138264251,2.582348248,1.635989688,1.459916585,1.028172257
419,1.604683886,1.144056921,2.496268303,1.639646012,1.466736988,1.03969733
421,1.591263692,1.152988201,2.403928709,1.648562603,1.475307465,1.050499006
423,1.573638004,1.165373633,2.305854506,1.651569414,1.482351411,1.055715317
425,1.556380182,1.180944404,2.21305943,1.649226798,1.489083657,1.058829517
427,1.54289689,1.198601472,2.131588694,1.646829664,1.497653079,1.065014934
429,1.532537529,1.216695008,2.058202706,1.647382318,1.508112284,1.076056619
431,1.521585641,1.23331973,1.98392499,1.649441236,1.517945488,1.089663694
433,1.505846639,1.246981411,1.899277835,1.648764999,1.52365153,1.101912482
435,1.483163259,1.256716536,1.799950605,1.641325535,1.522513118,1.110115025
437,1.454233347,1.262030933,1.688508247,1.625395362,1.513580667,1.114356978
439,1.42275005,1.262998707,1.574423782,1.603911659,1.498751859,1.118328924
441,1.389527281,1.259076876,1.461912344,1.57406551,1.476734616,1.122293304
443,1.354199712,1.250320583,1.35287995,1.537893752,1.448412138,1.127099207
445,1.316243333,1.237944612,1.248506717,1.498625081,1.415741292,1.132561512
447,1.27706377,1.224516453,1.152494952,1.458538898,1.381768516,1.137081423
449,1.239369891,1.213327992,1.069750143,1.419705864,1.35009735,1.139114619
451,1.206033987,1.206601362,1.004431509,1.385441839,1.32419376,1.139135404
453,1.179511983,1.20509748,0.959997614,1.360416933,1.307292527,1.140764395
455,1.159608651,1.207814604,0.935459082,1.345563169,1.299153281,1.146660504
457,1.144806983,1.214623128,0.925230924,1.338088347,1.296965366,1.156733392
459,1.130491237,1.222928484,0.91523896,1.330209789,1.293991942,1.168193689
461,1.114721594,1.230331114,0.900680515,1.318288655,1.286734231,1.179398789
463,1.097095328,1.235113945,0.879699053,1.301084424,1.274475846,1.189216064
465,1.079640659,1.23805513,0.855431088,1.280663447,1.260075072,1.198174526
467,1.065696991,1.241538471,0.831503014,1.25937645,1.246999553,1.208649497
469,1.053331935,1.243375959,0.802736836,1.232716539,1.232093074,1.219550388
471,1.039965921,1.241685413,0.766304795,1.197644359,1.212137584,1.228009809
473,1.025042116,1.236833556,0.722677751,1.155077363,1.186560498,1.232523001
475,1.007499421,1.227730627,0.672077205,1.10565993,1.154381639,1.231475592
477,0.989520237,1.215910129,0.617484638,1.051830169,1.117707411,1.225927638
479,0.973382027,1.203023476,0.563642078,0.997110746,1.079816201,1.218052441
481,0.960686057,1.191385775,0.513883383,0.944316744,1.044026438,1.211203789
483,0.952247412,1.182890558,0.469535967,0.894550948,1.01233702,1.207838225
485,0.943524443,1.173019577,0.42686309,0.843413076,0.980298904,1.203602657
487,0.932546369,1.160074011,0.38285164,0.78835639,0.94496286,1.195387853
489,0.915530927,1.140514702,0.333752219,0.726390357,0.902215845,1.178524728
491,0.890380082,1.112287025,0.27877915,0.657535098,0.850845379,1.150942106
493,0.85670954,1.075126846,0.219318274,0.583973315,0.792001802,1.113388559
495,0.817950802,1.032773656,0.15936196,0.510469004,0.730125662,1.070691975
497,0.769306982,0.979690239,0.098821518,0.435309361,0.662240747,1.018920058
499,0.708907291,0.913952114,0.036498751,0.356778247,0.587273142,0.958070065
501,0.636856318,0.835580925,-0.027064397,0.275038315,0.505790187,0.888607216
503,0.552727134,0.743834438,-0.091544486,0.189992428,0.417346276,0.808937895
505,0.45749194,0.63902863,-0.155857554,0.102205239,0.322048623,0.717830364
